obj,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
HIP28066          ,2456381.50550183,0.413281157573956,0.0005105378529957,400.0009,6.8829455039908,-0.0221829818539039,HARPS-B,125.3
HIP28066          ,2456558.90743203,0.422787720196835,0.0004994465291841,400.0006,6.88423120900482,-0.0206569585774554,HARPS-B,127.9
HIP28066          ,2456558.91243252,0.424735457808592,0.0005166332288129,399.9996,6.88287053662058,-0.021971039821815,HARPS-B,124.1
HIP28066          ,2456560.90504577,0.42586147121957,0.0006052671009697,399.9999,6.88474266168275,-0.0203704505143966,HARPS-B,105.3
HIP28066          ,2456560.91009256,0.425537438043401,0.0006153911480378,400.0003,6.88514751174438,-0.02282170999957,HARPS-B,104.0
HIP28066          ,2456637.71094034,0.425990588400783,0.0005769179254047,399.9931,6.88450425001008,-0.0219491307517723,HARPS-B,111.3
HIP28066          ,2456637.71594042,0.427396957311328,0.0005805323757585,400.0011,6.88634805174607,-0.0196808802002227,HARPS-B,110.4
HIP28066          ,2456638.71374533,0.423880672806291,0.000505082124652,399.9947,6.88585244066142,-0.0217930489987327,HARPS-B,126.7
HIP28066          ,2456638.71865281,0.4237264373841,0.0004954451795844,400.0004,6.88487340729211,-0.0215805880628797,HARPS-B,129.2
HIP28066          ,2456639.69914095,0.42342018224842,0.0004968965651017,400.0002,6.88650534403253,-0.0223870394734555,HARPS-B,129.0
HIP28066          ,2456639.70412945,0.424393014325691,0.000491439536565,400.0005,6.88479529511681,-0.0215863024732186,HARPS-B,130.4
HIP28066          ,2456640.71880614,0.424853679224406,0.0008126031477359,399.9935,6.88589132331297,-0.0226497907191063,HARPS-B,80.8
HIP28066          ,2456640.723621,0.42687320830855,0.0005060999698572,400.0003,6.88828191243844,-0.0207291894788934,HARPS-B,126.8
HIP28066          ,2456641.7040942,0.426684717216943,0.0005377555049415,399.9998,6.88507015355208,-0.0229452409102173,HARPS-B,119.0
HIP28066          ,2456641.70923314,0.426242276143634,0.0005375465438401,400.0004,6.88657135712602,-0.0204123581039251,HARPS-B,119.2
HIP28066          ,2456708.57405784,0.418883397015543,0.0004754926019036,400.0024,6.88964678917738,-0.0229174308004403,HARPS-B,134.3
HIP28066          ,2456708.57896482,0.418711156555453,0.0004579986780024,400.0001,6.89097006199077,-0.0229078169674551,HARPS-B,139.9
HIP28066          ,2456709.58827478,0.417808756066968,0.0005260572804122,400.0016,6.88557507135424,-0.0211497415342508,HARPS-B,122.1
HIP28066          ,2456709.59327434,0.420251615733052,0.0005480135861647,400.0004,6.88650955641191,-0.0207709955340769,HARPS-B,117.5
HIP28066          ,2456710.58055998,0.418729433822921,0.0005789050875498,400.0016,6.8839527623115,-0.0209679593109133,HARPS-B,111.5
HIP28066          ,2456710.58546695,0.418273354920633,0.0005701482527585,400.002,6.8885725652907,-0.0200891722109311,HARPS-B,113.4
HIP28066          ,2456711.58012387,0.417833051185199,0.0004912496428373,400.0013,6.88529154945162,-0.0213157483757266,HARPS-B,130.7
HIP28066          ,2456711.58512343,0.41894094381049,0.0005213323729404,400.0008,6.88835986682972,-0.0221862622902211,HARPS-B,123.2
HIP28066          ,2456906.91812395,0.42099382268905,0.001160008774303,400.0012,6.8804827820828,-0.0235462557654487,HARPS-B,56.4
HIP28066          ,2456906.92317072,0.424841750557523,0.0012050172563798,400.0014,6.88809300418106,-0.0193914481412235,HARPS-B,54.5
HIP28066          ,2456960.84474117,0.428130271672397,0.000461048364138,400.0016,6.88820722024716,-0.0191995641731063,HARPS-B,138.5
HIP28066          ,2456960.84984573,0.426763718581863,0.0004533074795137,400.0021,6.88793538112119,-0.0218231785828421,HARPS-B,141.0
HIP28066          ,2456961.81277843,0.426421741184253,0.0004601308176356,400.0019,6.88794433230047,-0.0234685610154713,HARPS-B,139.4
HIP28066          ,2456961.81783668,0.426801978676865,0.000453676461829,400.0016,6.88808133032818,-0.0216311912808146,HARPS-B,141.6
HIP28066          ,2456961.84874182,0.42688291266158,0.0004610416465114,400.0014,6.88947828883137,-0.0222730843428663,HARPS-B,139.5
HIP28066          ,2456961.8537885,0.425540196002099,0.0004549164745182,400.002,6.89277180168237,-0.0226151320670448,HARPS-B,141.3
HIP28066          ,2456963.80314791,0.425683989098144,0.000495482238685,400.0015,6.88828585153632,-0.0213301618669855,HARPS-B,129.4
HIP28066          ,2456963.8079515,0.425439720186204,0.0004906892589676,400.0013,6.89080259638398,-0.01947516734989,HARPS-B,131.1
HIP28066          ,2456964.82604714,0.423357622023663,0.0004407715296948,400.0018,6.88867166451912,-0.0205435504170033,HARPS-B,145.9
HIP28066          ,2456964.83096648,0.423819901583436,0.0004356454452567,400.0007,6.8883349891151,-0.019332275215983,HARPS-B,147.7
HIP28066          ,2456965.80727553,0.422953165356817,0.0004292031128574,400.002,6.8868633592988,-0.0203957602528166,HARPS-B,149.8
HIP28066          ,2456965.81226431,0.421864599990876,0.0004099849720466,400.0021,6.88640835273179,-0.0208580256343449,HARPS-B,156.8
HIP28066          ,2456965.84468562,0.422270428116566,0.000520807199155,400.0007,6.89071455638298,-0.0211013215149065,HARPS-B,124.6
HIP28066          ,2456965.84972071,0.421272693140031,0.0004873051257578,400.0007,6.89068473366485,-0.020116830205435,HARPS-B,133.5
HIP28066          ,2456966.81203456,0.424349388913686,0.0005599580165103,400.0015,6.88715483851362,-0.0218508450198655,HARPS-B,114.9
HIP28066          ,2456966.81712751,0.424016956454349,0.0005373671282466,400.002,6.8877018828313,-0.0228106935961385,HARPS-B,119.9
HIP28066          ,2457025.62369037,0.422940838603272,0.000497542173998,400.0009,6.88883420168626,-0.0210888184147355,HARPS-B,128.8
HIP28066          ,2457025.62869026,0.421458692570014,0.0004770283873441,400.0022,6.89064727458079,-0.020382187984946,HARPS-B,134.6
HIP28066          ,2457027.65691624,0.418377718796081,0.0005915989930958,400.0001,6.88870529542249,-0.0218141672309695,HARPS-B,109.7
HIP28066          ,2457027.66196241,0.418132897841178,0.0006396875394522,400.0011,6.88878567627428,-0.0227496445869636,HARPS-B,101.6
